Logger, 5287779394:         	Automatically truncated logfile to 1048576
SessionPaths, 5287779394:   	Got exclusive lock of C:\OpenServer\domains\localhost\sessions/1.madeline.lightState.php.lock...
APIWrapper, 5287779394:     	Saved session!
[27-Mar-2022 02:36:40 Europe/Moscow] Enabled PHP logging
[27-Mar-2022 02:36:41 Europe/Moscow] Enabled PHP logging
[27-Mar-2022 02:36:41 Europe/Moscow] Enabled PHP logging
Logger:         	MadelineProto
Logger:         	Copyright (C) 2016-2020 Daniil Gentili
Logger:         	Licensed under AGPLv3
Logger:         	https://github.com/danog/MadelineProto
Server:         	Starting IPC server C:\OpenServer\domains\localhost\sessions/1.madeline (process)
ProcessRunner:  	Starting process with "c:\openserver\modules\php\PHP_7.1\php.exe" "-dhtml_errors=0" "-ddisplay_errors=0" "-dlog_errors=1" "C:\OpenServer\domains\localhost\madeline.php" "madeline-ipc" "C:\OpenServer\domains\localhost\sessions/1.madeline" "423928579"
Serialization:  	MadelineProto is starting, please wait...
[27-Mar-2022 02:36:42 Europe/Moscow] Enabled PHP logging
[27-Mar-2022 02:36:43 Europe/Moscow] Enabled PHP logging
Logger:         	MadelineProto
Logger:         	Copyright (C) 2016-2020 Daniil Gentili
Logger:         	Licensed under AGPLv3
Logger:         	https://github.com/danog/MadelineProto
Serialization:  	Got exclusive session lock!
[27-Mar-2022 02:36:43 Europe/Moscow] Enabled PHP logging
[27-Mar-2022 02:36:43 Europe/Moscow] Enabled PHP logging
[27-Mar-2022 02:36:43 Europe/Moscow] Enabled PHP logging
[27-Mar-2022 02:36:43 Europe/Moscow] Enabled PHP logging
DataCenter, 5287779394:     	Disconnecting all before reconnect!
DataCenterConnection, 5287779394: 	Disconnecting from shared DC 
DataCenterConnection, 5287779394: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5287779394:     	Disconnecting all before reconnect!
DataCenterConnection, 5287779394: 	Disconnecting from shared DC 
DataCenterConnection, 5287779394: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5287779394:     	Disconnecting all before reconnect!
DataCenterConnection, 5287779394: 	Disconnecting from shared DC 
DataCenterConnection, 5287779394: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5287779394:     	Disconnecting all before reconnect!
DataCenterConnection, 5287779394: 	Disconnecting from shared DC 
DataCenterConnection, 5287779394: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5287779394:     	Disconnecting all before reconnect!
DataCenterConnection, 5287779394: 	Disconnecting from shared DC 
DataCenterConnection, 5287779394: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5287779394:     	Disconnecting all before reconnect!
DataCenterConnection, 5287779394: 	Disconnecting from shared DC 
DataCenterConnection, 5287779394: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5287779394:     	Disconnecting all before reconnect!
DataCenterConnection, 5287779394: 	Disconnecting from shared DC 
DataCenterConnection, 5287779394: 	Backed up 0, added to 0 existing messages) from DC 
DataCenter, 5287779394:     	Reconnecting to DC 2 (-1) from existing
DataCenterConnection, 5287779394: 	Trying shared connection via tcp://149.154.167.51:443 main DC 2, via ipv4 using AbridgedStream => HttpProxy ({"address":null,"port":null,"username":null,"password":null}) => BufferedRawStream => DefaultStream (-1)
Connection, 5287779394:     	Connecting to DC 2.0
Session, 5287779394:        	Resetting session in DC 2.0...
DataCenter, 5287779394:     	Connection failed (2): Invalid URI: tcp://; host and port components required
DataCenter, 5287779394:     	Reconnecting to DC 2 (-1) from existing
DataCenterConnection, 5287779394: 	Trying shared connection via tcp://149.154.167.51:80 main DC 2, via ipv4 using AbridgedStream => HttpProxy ({"address":null,"port":null,"username":null,"password":null}) => BufferedRawStream => DefaultStream (-1)
Connection, 5287779394:     	Connecting to DC 2.0
Session, 5287779394:        	Resetting session in DC 2.0...
DataCenter, 5287779394:     	Connection failed (2): Invalid URI: tcp://; host and port components required
